yf_ticker,market_cap,sector,industry,currency,exchange,short_name,quote_type,avg_volume,avg_volume_10d,free_float,shares_outstanding
ABLX.BR,,,,,YHD,,MUTUALFUND,,,,
AGFB.BR,75862064.0,Industrials,Specialty Industrial Machinery,EUR,BRU,AGFA-GEVAERT,EQUITY,89088.0,74553.0,154347826.0,154820528.0
BAR.BR,806348672.0,Technology,Electronic Components,EUR,BRU,BARCO,EQUITY,120817.0,107333.0,53156739.0,81388339.0
BEKB.BR,2064096640.0,Industrials,Metal Fabrication,EUR,BRU,BEKAERT,EQUITY,47197.0,60176.0,29857021.0,48962166.0
BPOST.BR,378801792.0,Industrials,Integrated Freight & Logistics,EUR,BRU,BPOST,EQUITY,209942.0,145849.0,97924462.0,200000944.0
DIE.BR,9065543680.0,Consumer Cyclical,Auto & Truck Dealerships,EUR,BRU,D'IETEREN GROUP,EQUITY,82525.0,84954.0,15580490.0,53004982.0
EVS.BR,467832128.0,Technology,Communication Equipment,EUR,BRU,EVS BROADC.EQUIPM.,EQUITY,18267.0,14200.0,12140176.0,13404931.0
GLPG.BR,,,,EUR,BRU,"GLPG.BR,0P0000A65X,0",MUTUALFUND,,0.0,,
INGA.BR,,,,EUR,BRU,"INGA.BR,0P0000A63J,0",MUTUALFUND,,0.0,,
NYR.BR,10130291.0,Basic Materials,Other Industrial Metals & Mining,EUR,BRU,NYRSTAR,EQUITY,104978.0,42970.0,73243540.0,109873001.0
OBEL.BR,1395432704.0,Communication Services,Telecom Services,EUR,BRU,ORANGE BELGIUM,EQUITY,2538.0,4208.0,12995394.0,67412205.0
ONTEX.BR,236409856.0,Consumer Defensive,Household & Personal Products,EUR,BRU,ONTEX GROUP,EQUITY,207586.0,294341.0,45891212.0,79733512.0
TESB.BR,1291332864.0,Basic Materials,Agricultural Inputs,EUR,BRU,TESSENDERLO GROUP,EQUITY,22337.0,33928.0,18425856.0,58992942.0
BAVA.CO,15240672256.0,Healthcare,Biotechnology,DKK,CPH,Bavarian Nordic A/S,EQUITY,285880.0,317843.0,78132911.0,77139332.0
DANSKE.CO,265634365440.0,Financial Services,Banks - Regional,DKK,CPH,Danske Bank A/S,EQUITY,1179901.0,1591284.0,642821676.0,811840942.0
DEMANT.CO,41821196288.0,Healthcare,Medical Devices,DKK,CPH,Demant A/S,EQUITY,540167.0,521118.0,83771036.0,210898609.0
DSV.CO,396073598976.0,Industrials,Integrated Freight & Logistics,DKK,CPH,DSV A/S,EQUITY,433155.0,385525.0,194917158.0,236744523.0
GMAB.CO,109889986560.0,Healthcare,Biotechnology,DKK,CPH,Genmab A/S,EQUITY,133876.0,122753.0,60889434.0,61391058.0
GN.CO,14077820928.0,Healthcare,Medical Devices,DKK,CPH,GN Store Nord A/S,EQUITY,1038694.0,600667.0,145523712.0,145612536.0
ISS.CO,38772830208.0,Industrials,Specialty Business Services,DKK,CPH,ISS A/S,EQUITY,417837.0,423655.0,161308635.0,158910235.0
JYSK.CO,52919197696.0,Financial Services,Banks - Regional,DKK,CPH,Jyske Bank A/S,EQUITY,100352.0,91077.0,58377114.0,57600538.0
NKT.CO,49655468032.0,Industrials,Electrical Equipment & Parts,DKK,CPH,NKT A/S,EQUITY,159763.0,169266.0,50619715.0,53450451.0
ORSTED.CO,217380290560.0,Utilities,Utilities - Renewable,DKK,CPH,ORSTED A/S,EQUITY,1394366.0,1674723.0,460521221.0,1321059155.0
PNDORA.CO,36211847168.0,Consumer Cyclical,Luxury Goods,DKK,CPH,Pandora A/S,EQUITY,484415.0,375467.0,64799713.0,74570207.0
RBREW.CO,27287926784.0,Consumer Defensive,Beverages - Brewers,DKK,CPH,Royal UNIBREW A/S,EQUITY,84770.0,137126.0,48891187.0,48784613.0
TRYG.CO,91850915840.0,Financial Services,Insurance - Diversified,DKK,CPH,Tryg A/S,EQUITY,990378.0,975345.0,302340124.0,596882398.0
VWS.CO,194685091840.0,Industrials,Specialty Industrial Machinery,DKK,CPH,Vestas Wind Systems A/S,EQUITY,2965379.0,3105863.0,989852779.0,985747317.0
ZEAL.CO,20323764224.0,Healthcare,Biotechnology,DKK,CPH,Zealand Pharma A/S,EQUITY,401218.0,307755.0,56758962.0,70617670.0
ELISA.HE,6715052032.0,Communication Services,Telecom Services,EUR,HEL,Elisa Corporation,EQUITY,430495.0,344213.0,107280826.0,160570356.0
FORTUM.HE,20080777216.0,Utilities,Utilities - Renewable,EUR,HEL,Fortum Corporation,EQUITY,1515072.0,1396686.0,412723709.0,897264465.0
HIAB.HE,3053022720.0,Industrials,Farm & Heavy Construction Machinery,EUR,HEL,Hiab Oyj,EQUITY,97606.0,100516.0,44730137.0,54992564.0
HUH1V.HE,3046698752.0,Consumer Cyclical,Packaging & Containers,EUR,HEL,Huhtamäki Oyj,EQUITY,268482.0,252946.0,92878060.0,104986170.0
KALMAR.HE,3115855872.0,Industrials,Integrated Freight & Logistics,EUR,HEL,Kalmar Oyj B,EQUITY,75506.0,50311.0,48516919.0,54665419.0
KCR.HE,7314645504.0,Industrials,Farm & Heavy Construction Machinery,EUR,HEL,Konecranes Plc,EQUITY,430189.0,345850.0,190565767.0,237642807.0
KEMIRA.HE,2974181120.0,Basic Materials,Chemicals,EUR,HEL,Kemira Oyj,EQUITY,257191.0,280749.0,90802231.0,147382606.0
KESKOB.HE,7910764544.0,Consumer Defensive,Grocery Stores,EUR,HEL,Kesko Corporation B,EQUITY,586263.0,497522.0,353688766.0,271378473.0
KNEBV.HE,29644830720.0,Industrials,Specialty Industrial Machinery,EUR,HEL,KONE Corporation,EQUITY,686326.0,548645.0,366742298.0,442057572.0
KOJAMO.HE,2092858496.0,Real Estate,Real Estate Services,EUR,HEL,LUMO KODIT OYJ,EQUITY,431062.0,367532.0,179051934.0,240144399.0
MANTA.HE,3680994048.0,Financial Services,Financial Conglomerates,EUR,HEL,Mandatum Oyj,EQUITY,1455641.0,1090058.0,428433361.0,503211761.0
METSO.HE,13523092480.0,Industrials,Farm & Heavy Construction Machinery,EUR,HEL,Metso Oyj,EQUITY,1655200.0,1710268.0,699333676.0,828113459.0
NDA-FI.HE,53808074752.0,Financial Services,Banks - Regional,EUR,HEL,Nordea Bank Abp,EQUITY,6117899.0,6228239.0,3202898152.0,3396685608.0
