yf_ticker,ticker,name,sector_wiki,country,suffix,index,market_cap,sector_yf,industry,currency,exchange,avg_volume,free_float,shares_outstanding,sector_final,adv_60d,history_days
SFER.MI,SFER,Salvatore Ferragamo,Consumer Discretionary,Italy,.MI,Italy_Mid,1264941696.0,Consumer Cyclical,Luxury Goods,EUR,MIL,435342.0,63961146.0,165676698.0,Consumer Cyclical,2967418.339828825,3752
TNXT.MI,TNXT,Tinexta,Information Technology,Italy,.MI,Italy_Mid,688376320.0,Technology,Information Technology Services,EUR,MIL,95842.0,28116055.0,45891755.0,Technology,1484961.3775482655,2965
ZV.MI,ZV,Zignago Vetro,Materials,Italy,.MI,Italy_Small,637275392.0,Consumer Cyclical,Packaging & Containers,EUR,MIL,91206.0,31661641.0,88265288.0,Consumer Cyclical,676185.4652426322,4784
ALFEN.AS,ALFEN,Alfen,electronic equipment,Netherlands,.AS,AMX,208732640.0,Industrials,Electrical Equipment & Parts,EUR,AMS,252379.0,21213539.0,21742981.0,Industrials,2471478.632025528,2060
AMG.AS,AMG,Advanced Metallurgical Group,machinery: Industrial,Netherlands,.AS,AMX,1069664512.0,Basic Materials,Other Industrial Metals & Mining,EUR,AMS,319502.0,30266199.0,32335683.0,Basic Materials,10846379.403256893,4798
CRBN.AS,CRBN,Corbion,food products,Netherlands,.AS,AMX,1101246976.0,Basic Materials,Specialty Chemicals,EUR,AMS,130150.0,48530358.0,57626739.0,Basic Materials,2538285.597530079,5450
FUR.AS,FUR,Fugro,engineering and contracting services,Netherlands,.AS,AMX,1229131392.0,Energy,Oil & Gas Equipment & Services,EUR,AMS,603106.0,107193836.0,111334361.0,Energy,6589956.204734993,5450
GLPG.AS,GLPG,Galapagos,biotechnology,Netherlands,.AS,AMX,1607888512.0,Healthcare,Biotechnology,EUR,AMS,80041.0,44538512.0,65897071.0,Healthcare,2177972.2752770423,5361
OCI.AS,OCI,OCI,Fertilizers,Netherlands,.AS,AMX,767469312.0,Basic Materials,Specialty Chemicals,EUR,AMS,682861.0,105047562.0,210939330.0,Basic Materials,2269534.6652561347,3376
PNL.AS,PNL,PostNL,delivery services,Netherlands,.AS,AMX,566670208.0,Industrials,Integrated Freight & Logistics,EUR,AMS,2031664.0,492382498.0,508680625.0,Industrials,2337727.7775169252,5450
TWEKA.AS,TWEKA,TKH Group,electrical components,Netherlands,.AS,AMX,1623287680.0,Technology,Communication Equipment,EUR,AMS,104600.0,26887409.0,39884014.0,Technology,4052490.6516868593,5450
ATC.WA,ATC,Arctic Paper,Materials,Poland,.WA,mWIG40,544601984.0,Basic Materials,Paper & Paper Products,PLN,WSE,31386.0,21948291.0,69287783.0,Basic Materials,245018.6440208435,4134
TEN.WA,TEN,Ten Square Games,Communication Services,Poland,.WA,mWIG40,674145664.0,Communication Services,Electronic Gaming & Multimedia,PLN,WSE,25680.0,4218198.0,6359865.0,Communication Services,2649619.466580709,1908
ALTR.LS,ALTR,Altri,Basic Resources,Portugal,.LS,PSI,1005145280.0,Basic Materials,Paper & Paper Products,EUR,LIS,314835.0,61000005.0,205131672.0,Basic Materials,1459297.9141538064,5452
COR.LS,COR,Corticeira Amorim,Industrial Goods & Services,Portugal,.LS,PSI,892430016.0,Basic Materials,Lumber & Wood Production,EUR,LIS,138550.0,38030020.0,133000000.0,Basic Materials,933650.8313375711,5452
CTT.LS,CTT,CTT Correios de Portugal,Industrial Goods & Services,Portugal,.LS,PSI,895881088.0,Industrials,Integrated Freight & Logistics,EUR,LIS,418568.0,77753985.0,132388875.0,Industrials,2781125.7741559586,3157
EGL.LS,EGL,Mota-Engil,Construction & Materials,Portugal,.LS,PSI,1519767936.0,Industrials,Engineering & Construction,EUR,LIS,2081122.0,,306775950.0,Industrials,9867365.4883852,5452
IBS.LS,IBS,Ibersol,Travel & Leisure,Portugal,.LS,PSI,461182336.0,Consumer Cyclical,Restaurants,EUR,LIS,13935.0,14356986.0,40366030.0,Consumer Cyclical,150751.37716390291,5452
SEM.LS,SEM,Semapa,Basic Resources,Portugal,.LS,PSI,1813034880.0,Basic Materials,Paper & Paper Products,EUR,LIS,27937.0,13401282.0,79869373.0,Basic Materials,618426.5163959503,5452
A3M.MC,A3M,Atresmedia,Communication Services,Spain,.MC,Spain_Mid,1134899328.0,Communication Services,Entertainment,EUR,MCE,376718.0,96781687.0,225178424.0,Communication Services,1881115.2855735063,5440
ADDV-B.ST,ADDV-B,AddLife,Health Care,Sweden,.ST,OMX_Mid_SE,1048497280.0,Healthcare,Medical Instruments & Supplies,SEK,STO,2843869.0,478981448.0,583209491.0,Healthcare,4652374.352142108,2628
CINT.ST,CINT,CINT Group,Information Technology,Sweden,.ST,Sweden_Small,1327611648.0,Technology,Software - Application,SEK,STO,3109965.0,298169512.0,354976383.0,Technology,10486636.093540045,1292
SUS.ST,SUS,Surgical Science,Health Care,Sweden,.ST,Sweden_Small,1614470016.0,Healthcare,Health Information Services,SEK,STO,392267.0,43092167.0,51026236.0,Healthcare,11454008.971069686,2214
AMS.SW,AMS,ams,Hardware,Switzerland,.SW,SMIM,1029022592.0,Technology,Semiconductors,CHF,EBS,645120.0,98676445.0,98849432.0,Technology,5543500.2122133095,5363
TECN.SW,TECN,Tecan,Scientific Equipment,Switzerland,.SW,SMIM,1707280512.0,Healthcare,Medical Instruments & Supplies,CHF,EBS,63928.0,12500379.0,12655898.0,Healthcare,8390789.08837789,5363
AAS.L,AAS,Aberdeen Asia Focus,Investment Trusts,UK,.L,FTSE_250,561495872.0,,,GBp,LSE,285519.0,,139675588.0,Investment Trusts,111600837.9,5382
AEP.L,AEP,AEP Plantations,Food Producers,UK,.L,FTSE_250,713972672.0,Consumer Defensive,Farm Products,GBp,LSE,45663.0,17390512.0,38468178.0,Consumer Defensive,73427660.15,5382
AGT.L,AGT,AVI Global Trust,Investment Trusts,UK,.L,FTSE_250,1016581824.0,,,GBp,LSE,858915.0,,402606671.0,Investment Trusts,212100171.9,5382
AIE.L,AIE,Ashoka India Equity Investment Trust,Investment Trusts,UK,.L,FTSE_250,402129792.0,,,GBp,LSE,756633.0,,169317811.0,Investment Trusts,181427049.65,1961
ALFA.L,ALFA,Alfa Financial Software,Software and Computer Services,UK,.L,FTSE_250,440609664.0,Technology,Software - Application,GBp,LSE,697737.0,130042961.0,296108644.0,Technology,129312625.2423935,2242
AML.L,AML,Aston Martin Lagonda,Automobiles & Parts,UK,.L,FTSE_250,426079968.0,Consumer Cyclical,Auto Manufacturers,GBp,LSE,2340931.0,346616730.0,1012066502.0,Consumer Cyclical,115040667.10901025,1899
AO.L,AO,AO World,Retail,UK,.L,FTSE_250,527818464.0,Consumer Cyclical,Specialty Retail,GBp,LSE,473465.0,148804800.0,555598374.0,Consumer Cyclical,47438155.41025963,3015
APN.L,APN,Applied Nutrition,Food Producers,UK,.L,FTSE_250,560000000.0,Consumer Defensive,Packaged Foods,GBp,LSE,362341.0,111067500.0,250000000.0,Consumer Defensive,84701503.48333333,369
ASL.L,ASL,Aberforth Smaller Companies Trust,Investment Trusts,UK,.L,FTSE_250,1190755072.0,,,GBp,LSE,154617.0,,78649605.0,Investment Trusts,248798524.66666666,5382
ATR.L,ATR,Schroder Asian Total Return Investment Company,Investment Trusts,UK,.L,FTSE_250,553664768.0,,,GBp,LSE,155237.0,,93524454.0,Investment Trusts,91781567.73333333,5382
ATT.L,ATT,Allianz Technology Trust,Investment Trusts,UK,.L,FTSE_250,1968272512.0,,,GBp,LSE,1222369.0,,346526859.0,Investment Trusts,657693824.6666666,5382
ATYM.L,ATYM,Atalaya Mining,Industrial Metals and Mining,UK,.L,FTSE_250,1220846848.0,Basic Materials,Copper,GBp,LSE,810313.0,110801296.0,153759043.0,Basic Materials,731127175.65,5292
AVON.L,AVON,Avon Technologies,Industrial Goods and Services,UK,.L,FTSE_250,513335008.0,Industrials,Aerospace & Defense,GBp,LSE,62268.0,24082704.0,29313384.0,Industrials,112005116.03333333,5382
