date,open,high,low,close,volume_btc,volume_usd
2010-07-17,0.04951,0.04951,0.04951,0.04951,20.0,0.9902
2010-07-18,0.04951,0.08585,0.04951,0.08584,75.01,5.0919941
2010-07-19,0.08584,0.09307,0.07723,0.0808,574.0,49.6613
2010-07-20,0.0808,0.08181,0.07426,0.07474,262.0,20.58952
2010-07-21,0.07474,0.07921,0.06634,0.07921,575.0,42.2622
2010-07-22,0.07921,0.08181,0.0505,0.05842,2160.0,129.78428
2010-07-23,0.05842,0.06767,0.0505,0.06262,2402.5,141.0650511
2010-07-24,0.06262,0.06262,0.05049,0.05454,496.32,26.7277095
2010-07-25,0.05454,0.05941,0.0505,0.0505,1551.48,85.062975
2010-07-26,0.0505,0.056,0.05,0.056,877.0,46.907
2010-07-27,0.056,0.0605,0.053,0.06,3373.69,196.91835
2010-07-28,0.06,0.062,0.054,0.0589,4390.29,255.759194
2010-07-29,0.0589,0.0699,0.0571,0.0699,8058.49,528.3183128
2010-07-30,0.0699,0.0699,0.0582,0.0627,3020.85,198.5299149
2010-07-31,0.0627,0.06889,0.056,0.06785,4022.25,243.898458
2010-08-01,0.06785,0.06785,0.06,0.0611,2601.0,162.6451925
2010-08-02,0.0611,0.0633,0.06,0.0611,3599.0,221.20058
2010-08-03,0.0611,0.065,0.059,0.06,9821.46,606.0456913
2010-08-04,0.06,0.06231,0.057,0.057,3494.0,210.765111
2010-08-05,0.057,0.061,0.057,0.061,5034.07,303.609091
2010-08-06,0.061,0.0624,0.0607,0.0623,1395.0,85.908
2010-08-07,0.0623,0.0623,0.059,0.059,2619.0,157.3408
2010-08-08,0.059,0.061,0.059,0.0609,2201.0,132.5954
2010-08-09,0.0609,0.0735,0.0593,0.071,13631.09,886.9327103
2010-08-10,0.071,0.071,0.06651,0.07,1310.39,88.8736329
2010-08-11,0.07,0.07541,0.06,0.067,14061.18,1015.6416825
2010-08-12,0.067,0.07,0.06141,0.07,2062.31,134.4872288
2010-08-13,0.07,0.07,0.0645,0.0645,3591.77,233.8004368
2010-08-14,0.0645,0.0695,0.0645,0.067,4404.2,295.3084789
2010-08-15,0.067,0.067,0.065,0.06529,4462.866,294.94926945
2010-08-16,0.06529,0.0679,0.062,0.0655,10731.468,696.80254899
2010-08-17,0.0655,0.0769,0.06243,0.07,13185.74,915.0003158
2010-08-18,0.07,0.0733,0.067,0.068,2953.975,203.82833613
2010-08-19,0.068,0.068,0.0667,0.0667,741.115,50.0425085
2010-08-20,0.0667,0.0667,0.065,0.0655,4199.747,276.4108105
2010-08-21,0.0655,0.0669,0.0644,0.0664,10443.86,688.5147954
2010-08-22,0.0664,0.0664,0.0612,0.066,18648.972,1183.64149298
2010-08-23,0.066,0.06689,0.063,0.06491,4297.49,281.877223
2010-08-24,0.06491,0.0665,0.06491,0.065,6711.757,444.65573957
2010-08-25,0.065,0.0665,0.0641,0.0648,4228.88,278.8612816
2010-08-26,0.0648,0.0658,0.064,0.064,3870.01,251.563028
