date,equity,cash,positions,regime_on,returns
2010-01-04,19791.05292644501,1.6382154464737368,11,True,
2010-01-08,19896.36171642065,2.020629556180893,11,True,0.005321030183034203
2010-01-15,19955.348221552373,0.6374337792421922,12,True,0.002964688015449468
2010-01-22,18620.010797119143,0.3149837017091386,11,True,-0.06691626773974435
2010-01-29,18784.416800847055,9.732176532748554,10,True,0.00882953321129909
2010-02-05,18184.049344534877,10.366497988704168,10,True,-0.03196093137611311
2010-02-12,17928.04475865603,2.8474021935498968,10,True,-0.014078524591981889
2010-02-19,18551.917935588364,2.8474021935498968,10,True,0.034798729327754296
2010-02-26,18621.16175796271,12.675124781135366,11,True,0.003732434706468446
2010-03-05,19520.561723530296,22.93474441767148,11,True,0.04829988468270452
2010-03-12,19812.973470661644,0.470826957229896,12,True,0.014979678928955797
2010-03-19,19626.75874325991,0.470826957229896,12,True,-0.009398625990060139
2010-03-26,20570.805603716377,0.470826957229896,12,True,0.04809998802174431
2010-04-06,21074.043307559496,1.300088899139686,11,True,0.024463684774319372
2010-04-09,20791.336926818494,1.1169103390021071,12,True,-0.013414909356269211
2010-04-16,20632.37195622981,1.1169103390021071,12,True,-0.00764573106328903
2010-04-23,20976.697472234373,1.1663689810081905,12,True,0.016688605495045694
2010-04-30,20701.15459737361,0.9816620069792918,13,True,-0.013135665193507395
2010-05-07,18120.092190642958,15776.167624016409,3,False,-0.1246820506841737
2010-05-14,17948.729348075398,0.1238519072614821,13,True,-0.009457062401484362
2010-05-21,16807.190359492313,11.050435681352837,12,True,-0.06359998897111285
2010-05-28,17022.64348095418,7.078519043932204,13,True,0.012819104017595784
2010-06-04,17141.17016562463,2.7730184459790053,13,True,0.006962883573462975
2010-06-11,17490.322880834352,6.4439278543098695,14,True,0.020369246197084134
2010-06-18,18134.329968360675,1.4563417708980069,14,True,0.03682076608385643
2010-06-25,17500.03720339657,2.123192633401004,14,True,-0.034977458007589446
2010-07-02,16859.769615263354,6599.733769506823,8,False,-0.03658664154205027
2010-07-09,17227.485008377444,2.3858193343992298,12,True,0.021810226444683556
2010-07-16,17145.44399375857,8.262998055827147,11,True,-0.004762216573050426
2010-07-23,17687.063724469554,8.262998055827147,11,True,0.03158971741461736
2010-07-30,17777.59000183047,3.772231349360972,12,True,0.0051182196644474764
2010-08-06,18334.098893069637,6.099731349361036,12,True,0.031303955777012726
2010-08-13,17675.381350194824,39.57050172032177,10,True,-0.03592854749593444
2010-08-20,17440.94080328168,5.437907449616887,10,True,-0.013263676877362629
2010-08-27,17239.82322247089,5444.014687371864,7,False,-0.011531349316485584
2010-09-03,17664.774594226496,7.048424401893865,12,True,0.024649404246889883
2010-09-10,17788.49059712948,3.8011487728505813,12,True,0.007003542685646291
2010-09-17,18147.544517108814,9.757495233431882,11,True,0.020184619825881933
2010-09-24,18590.89210707845,9.757495233431882,11,True,0.02443016957757904
2010-10-01,19097.986400818245,5.371608948127076,12,True,0.027276490596528147
2010-10-08,18906.230934357063,5.371608948127076,12,True,-0.010040611739725924
2010-10-15,19314.350956749335,6.4168670886908785,12,True,0.021586535349603864
2010-10-22,19987.382021736517,6.4168670886908785,12,True,0.034846165242326865
2010-10-29,20139.6295521778,3.9986107868112413,12,True,0.007617182194031846
2010-11-05,20492.552221598045,5.286557497398007,12,True,0.01752379151294181
2010-11-12,19795.659213256255,1.8199197763365191,12,True,-0.034007135900198104
2010-11-19,20398.38798730792,11.520919017211764,11,True,0.03044752223497804
2010-11-26,20358.386107558625,9.804023856536787,11,True,-0.0019610314194525857
2010-12-03,21076.25519668521,9.804023856536787,11,True,0.03526159123487971
2010-12-10,21550.84281932773,9.804023856536787,11,True,0.022517644534744363
2010-12-17,21413.08352859439,7.411439971344912,12,True,-0.006392292491214757
2010-12-27,21974.007261189836,1.569742116349289,12,True,0.02619537405000094
2011-01-03,22508.70797434749,1.569742116349289,12,True,0.024333327408243566
2011-01-07,22089.287169799227,110.85356460513412,12,True,-0.01863371300681782
2011-01-14,22403.23633202495,6.103441323655588,12,True,0.014212733974275027
2011-01-21,21767.318630666156,1.9925102895685995,13,True,-0.028385082045033094
2011-01-28,22639.328287341017,4.410588004011807,13,True,0.04006049947954371
2011-02-04,21990.256391925235,6.254397792239047,13,True,-0.02867010395262992
2011-02-11,23388.99494369449,29.97303350390939,13,True,0.06360719615269561
2011-02-18,24675.94900279941,4.284760531802462,14,True,0.055023914546267205
2011-02-25,23291.342793259046,0.12083080710976901,12,True,-0.056111568774245946
2011-03-04,23218.938082445286,2.2662949449036205,13,True,-0.0031086533505795266
2011-03-11,22899.083356831692,4.558231804988736,11,True,-0.013775596647782051
2011-03-18,22510.027578187608,3.451004815720097,11,True,-0.01699001538976508
2011-03-25,22959.959663775586,0.8237828284726447,12,True,0.019988073494142
2011-04-01,23192.447813895367,0.8237828284726447,12,True,0.010125808299505934
2011-04-08,24190.11609115901,0.8237828284726447,12,True,0.04301694608819617
2011-04-15,23915.845965817593,4.433688595913253,14,True,-0.011338107031311662
2011-04-26,24576.495560613297,5.890634503983051,14,True,0.027623927488910738
