mode,threshold_bp,window_d,cagr,maxdd,sharpe,n_trades,cagr_delta,maxdd_delta
super_rich,,,20.843215535322337,-27.653476574109593,1.000313970207201,146,0.0,0.0
super_rich,3.0,3.0,25.12310720542721,-23.935767717826728,1.1697476000981928,147,4.279891670104874,3.717708856282865
super_rich,5.0,3.0,25.86169070504203,-23.935767717826728,1.1931454052875194,148,5.018475169719693,3.717708856282865
super_rich,7.0,3.0,23.51051462025,-26.236365662923166,1.0994633620250536,147,2.667299084927663,1.4171109111864268
super_rich,10.0,3.0,23.729998454673186,-26.2201249209594,1.0987746458133894,146,2.88678291935085,1.4333516531501935
super_rich,15.0,3.0,20.843215535322337,-27.653476574109593,1.000313970207201,146,0.0,0.0
super_rich,3.0,7.0,27.704775583101693,-23.935767717826728,1.3066595781463912,142,6.861560047779356,3.717708856282865
super_rich,5.0,7.0,26.07524060379607,-23.935767717826728,1.210405615997646,147,5.232025068473732,3.717708856282865
super_rich,7.0,7.0,23.51051462025,-26.236365662923166,1.0994633620250536,147,2.667299084927663,1.4171109111864268
super_rich,10.0,7.0,23.729998454673186,-26.2201249209594,1.0987746458133894,146,2.88678291935085,1.4333516531501935
super_rich,15.0,7.0,20.843215535322337,-27.653476574109593,1.000313970207201,146,0.0,0.0
super_rich,3.0,14.0,22.183775244954962,-23.935767717826728,1.102283932061589,138,1.3405597096326254,3.717708856282865
super_rich,5.0,14.0,27.222681277585625,-23.935767717826728,1.266919930223139,144,6.379465742263289,3.717708856282865
super_rich,7.0,14.0,26.121809154083486,-23.935767717826728,1.2142182049853765,146,5.27859361876115,3.717708856282865
super_rich,10.0,14.0,23.729998454673186,-26.2201249209594,1.0987746458133894,146,2.88678291935085,1.4333516531501935
super_rich,15.0,14.0,20.843215535322337,-27.653476574109593,1.000313970207201,146,0.0,0.0
