yf_ticker,name,has_data,rows,start_date,end_date,pct_nan_close,last_close
AIXA.DE,Aixtron,True,5408,2005-01-03,2026-04-10,0.0,38.16999816894531
ALV.DE,Allianz,True,5408,2005-01-03,2026-04-10,0.0,377.29998779296875
AOF.DE,Atoss Software,True,5408,2005-01-03,2026-04-10,0.0,73.9000015258789
AT1.DE,Aroundtown,True,2510,2016-05-26,2026-04-10,0.0,2.5260000228881836
BAS.DE,BASF,True,5408,2005-01-03,2026-04-10,0.0,54.70000076293945
BAYN.DE,Bayer,True,5408,2005-01-03,2026-04-10,0.0,40.119998931884766
BC8.DE,Bechtle,True,5408,2005-01-03,2026-04-10,0.0,29.780000686645508
BEI.DE,Beiersdorf,True,5408,2005-01-03,2026-04-10,0.0,75.30000305175781
BFSA.DE,Befesa,True,2101,2017-12-29,2026-04-10,0.0,33.79999923706055
BMW.DE,BMW,True,5408,2005-01-03,2026-04-10,0.0,83.83999633789062
BNR.DE,Brenntag,True,4073,2010-03-29,2026-04-10,0.0,58.47999954223633
BOSS.DE,Hugo Boss,True,5408,2005-01-03,2026-04-10,0.0,37.2400016784668
BVB.DE,Borussia Dortmund,True,5408,2005-01-03,2026-04-10,0.0,3.130000114440918
BYW6.DE,BayWa,True,5408,2005-01-03,2026-04-10,0.0,2.674999952316284
CBK.DE,Commerzbank,True,5408,2005-01-03,2026-04-10,0.0,34.560001373291016
COK.DE,CANCOM,True,5408,2005-01-03,2026-04-10,0.0,24.549999237060547
CON.DE,Continental,True,5408,2005-01-03,2026-04-10,0.0,65.16000366210938
COP.DE,CompuGroup Medical,False,0,,,,
CWC.DE,CEWE Stiftung,True,5408,2005-01-03,2026-04-10,0.0,93.0
DB1.DE,Deutsche Boerse,True,5408,2005-01-03,2026-04-10,0.0,252.5
DBAN.DE,Deutsche Beteiligungs AG,True,5408,2005-01-03,2026-04-10,0.0,24.450000762939453
DBK.DE,Deutsche Bank,True,5408,2005-01-03,2026-04-10,0.0,27.709999084472656
DEQ.DE,Deutsche EuroShop,True,5408,2005-01-03,2026-04-10,0.0,19.780000686645508
DHER.DE,Delivery Hero,True,2229,2017-06-30,2026-04-10,0.0,17.020000457763672
DHL.DE,DHL Group,True,5389,2005-01-03,2026-04-10,0.0,49.13999938964844
DMP.DE,Dermapharm,True,2030,2018-04-12,2026-04-10,0.0,43.95000076293945
DRW3.DE,Draegerwerk,True,5408,2005-01-03,2026-04-10,0.0,94.5
DTE.DE,Deutsche Telekom,True,5408,2005-01-03,2026-04-10,0.0,30.989999771118164
DTG.DE,Daimler Truck,True,1102,2021-12-10,2026-04-10,0.0,44.29999923706055
ECV.DE,Encavis,False,0,,,,
ELG.DE,Elmos Semiconductor,True,5408,2005-01-03,2026-04-10,0.0,174.0
ENR.DE,Siemens Energy,True,1408,2020-09-29,2026-04-10,0.0,167.22000122070312
