ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
FRAS.L,2011-06-24,231.45,2011-08-05,210.64,9,-207.29,-9.0,42,REGIME_OFF_10W
DLG.MI,2011-07-29,8.63,2011-08-05,6.87,218,-405.3,-20.5,7,HARD_STOP
PPH.L,2010-01-04,119.59,2011-08-12,206.46,16,1369.88,72.6,585,REGIME_OFF_10W
BOSS.DE,2011-07-29,72.51,2011-08-19,56.86,37,-598.92,-21.6,21,HARD_STOP
VPK.AS,2012-05-25,46.88,2012-06-01,45.77,47,-72.09,-2.4,7,REGIME_OFF_10W
COK.DE,2012-05-25,6.41,2012-06-01,5.98,344,-167.72,-6.7,7,REGIME_OFF_10W
AFX.DE,2012-05-25,19.67,2012-06-01,18.86,112,-111.57,-4.2,7,REGIME_OFF_10W
HYQ.DE,2012-05-25,11.96,2012-06-08,10.45,185,-299.54,-12.6,14,HARD_STOP
AOF.DE,2012-05-25,5.62,2012-06-08,5.27,395,-155.07,-6.1,14,REGIME_OFF_10W
HPOL-B.ST,2012-05-25,25.53,2012-06-15,23.78,87,-171.95,-6.8,21,REGIME_OFF_10W
ELM.L,2012-05-25,188.54,2012-06-15,177.84,11,-137.8,-5.7,21,REGIME_OFF_10W
MBB.DE,2012-05-25,8.74,2012-07-13,7.73,253,-276.12,-11.6,49,HARD_STOP
IPO.L,2012-06-22,149.24,2012-08-17,125.37,14,-354.21,-16.0,56,HARD_STOP
COK.DE,2012-06-22,7.03,2012-08-24,6.13,302,-291.28,-12.8,63,HARD_STOP
RCO.PA,2012-06-22,83.34,2012-10-19,78.61,25,-138.49,-5.7,119,BELOW_30W_SMA
ASML.AS,2012-06-22,51.84,2012-10-19,51.72,37,-24.5,-0.2,119,BELOW_30W_SMA
GN.CO,2012-10-19,90.6,2012-11-16,80.55,26,-281.44,-11.1,28,HARD_STOP
ZEAL.CO,2012-10-19,102.51,2012-12-07,88.55,14,-215.37,-13.6,49,HARD_STOP
VPK.AS,2012-06-22,48.81,2013-01-04,52.23,43,126.83,7.0,196,BELOW_30W_SMA
GRF.MC,2012-05-25,9.42,2013-01-18,11.94,235,571.76,26.7,238,BELOW_30W_SMA
GBG.L,2012-06-22,67.08,2013-02-15,90.3,31,699.59,34.6,238,BELOW_30W_SMA
AMS.SW,2012-08-17,61.49,2013-04-05,72.98,33,359.21,18.7,231,BELOW_30W_SMA
RSW.L,2012-11-16,1780.86,2013-04-05,1697.47,1,-103.39,-4.7,140,BELOW_30W_SMA
TTR1.DE,2013-02-22,9.2,2013-04-19,8.03,296,-364.28,-12.6,56,HARD_STOP
GLPG.BR,2012-06-22,12.35,2013-05-17,17.26,171,819.92,39.8,329,BELOW_30W_SMA
PPC.AT,2013-05-17,8.44,2013-06-14,7.21,316,-408.13,-14.5,28,HARD_STOP
SRT3.DE,2012-06-22,13.37,2013-06-21,19.24,158,908.14,43.9,364,BELOW_30W_SMA
MBB.DE,2013-01-04,16.1,2013-08-09,19.52,153,503.54,21.3,217,BELOW_30W_SMA
EZJ.L,2012-07-13,551.24,2013-11-08,1218.88,3,1982.9,121.1,483,BELOW_30W_SMA
KLR.L,2012-12-07,656.26,2013-11-08,993.51,2,654.49,51.4,336,BELOW_30W_SMA
IPF.L,2013-01-18,402.8,2013-12-27,452.92,6,280.72,12.4,343,BELOW_30W_SMA
HEX.OL,2013-12-27,21.63,2014-01-10,19.28,124,-312.26,-10.9,14,HARD_STOP
HTRO.ST,2014-01-10,2.49,2014-01-24,2.09,959,-399.53,-15.9,14,HARD_STOP
CDR.WA,2013-11-08,15.58,2014-03-14,12.9,135,-382.11,-17.2,126,HARD_STOP
GMAB.CO,2012-08-24,69.85,2014-04-04,219.4,26,3868.3,214.1,588,BELOW_30W_SMA
UTG.L,2013-04-19,314.56,2014-05-16,403.87,8,694.44,28.4,392,BELOW_30W_SMA
BKT.MC,2014-01-24,3.73,2014-05-16,3.75,532,-6.57,0.7,112,BELOW_30W_SMA
EGL.LS,2013-06-21,2.19,2014-05-23,4.65,1321,3221.39,111.9,336,BELOW_30W_SMA
UNI.MI,2013-11-08,3.99,2014-05-23,4.29,883,241.91,7.4,196,BELOW_30W_SMA
REY.MI,2013-04-19,7.26,2014-06-13,14.68,245,1796.71,102.1,420,BELOW_30W_SMA
HWG.L,2014-05-23,63.21,2014-06-13,60.94,61,-158.52,-3.6,21,BELOW_30W_SMA
TUI1.DE,2013-06-14,25.49,2014-06-20,33.18,99,741.27,30.2,371,BELOW_30W_SMA
GLPG.AS,2014-06-13,16.13,2014-06-27,14.01,244,-537.44,-13.1,14,HARD_STOP
SCYR.MC,2014-03-14,3.86,2014-07-11,3.8,447,-45.08,-1.5,119,BELOW_30W_SMA
NDX1.DE,2014-06-13,14.18,2014-07-11,12.62,266,-434.43,-11.0,28,HARD_STOP
GN.CO,2013-04-05,107.74,2014-08-01,140.0,24,754.25,29.9,483,REGIME_OFF_10W
PNDORA.CO,2013-08-09,219.49,2014-08-01,375.02,14,2157.33,70.9,357,REGIME_OFF_10W
COL.MC,2014-04-04,5.65,2014-08-01,5.8,712,85.37,2.6,119,REGIME_OFF_10W
HEX.OL,2014-05-16,26.31,2014-08-01,24.73,148,-253.01,-6.0,77,REGIME_OFF_10W
VWS.CO,2014-05-16,53.26,2014-08-01,49.23,55,-241.78,-7.6,77,REGIME_OFF_10W
GFT.DE,2014-05-23,9.75,2014-08-01,9.18,401,-247.63,-5.8,70,REGIME_OFF_10W
FNAC.PA,2014-06-27,38.19,2014-08-01,32.79,100,-560.47,-14.2,35,HARD_STOP
SECT-B.ST,2014-07-11,20.1,2014-08-01,18.51,183,-311.52,-7.9,21,REGIME_OFF_10W
APAM.AS,2014-06-20,25.24,2014-08-08,22.22,155,-487.67,-12.0,49,HARD_STOP
GNC.L,2014-09-05,225.8,2014-09-12,211.93,15,-227.99,-6.1,7,BELOW_30W_SMA
INH.DE,2014-09-05,40.64,2014-09-26,38.12,85,-234.1,-6.2,21,REGIME_OFF_10W
