date,equity,cash,positions,regime_on,circuit_breaker,returns
2010-10-08,20739.425862710483,9.664162557131249,10,True,False,0.008500793391411632
2010-10-15,20533.976241467004,44.15607464075697,10,True,False,-0.009906234753242482
2010-10-22,21016.604800579553,44.15607464075697,10,True,False,0.023503901701118712
2010-10-29,21965.52029168368,44.15607464075697,10,True,False,0.045150751042240644
2010-11-05,22461.526373503213,44.15607464075697,10,True,False,0.022581121468236987
2010-11-12,21731.241851208215,44.15607464075697,10,True,False,-0.032512684585695784
2010-11-19,22227.422037003045,44.15607464075697,10,True,False,0.02283257391326865
2010-11-26,22127.323076798923,1.4020329260890776,10,True,False,-0.004503399451249113
2010-12-03,22734.347348287112,1.4020329260890776,10,True,False,0.027433244834060844
2010-12-10,22804.344379260547,1.4020329260890776,10,True,False,0.0030789109491946576
2010-12-17,22589.854854896075,1.4020329260890776,10,True,False,-0.009405643100160344
2010-12-27,22995.566552474505,1.4020329260890776,10,True,False,0.01795990723200669
2011-01-03,23284.918907239444,1.4020329260890776,10,True,False,0.012582962637804673
2011-01-07,23265.571467705973,6.763546773201824,10,True,False,-0.0008309000177558756
2011-01-14,23620.076158829936,6.763546773201824,10,True,False,0.015237308553371909
2011-01-21,23224.773814030894,6.763546773201824,10,True,False,-0.016735862413858715
2011-01-28,23809.439560719737,6.763546773201824,10,True,False,0.025174227803916205
2011-02-04,23302.17688829542,6.763546773201824,10,True,False,-0.021305107628874498
2011-02-11,23678.11296016813,6.763546773201824,10,True,False,0.016133088066185852
2011-02-18,23850.268561669596,6.763546773201824,10,True,False,0.0072706639161266295
2011-02-25,23304.542280980357,6.763546773201824,10,True,False,-0.022881347406137453
2011-03-04,23556.703014680155,6.763546773201824,10,True,False,0.010820239705183754
2011-03-11,23564.686491795786,6.763546773201824,10,True,False,0.000338904689279218
2011-03-18,22836.634255322224,1100.8683108413284,10,True,False,-0.030895901658909763
2011-03-25,23455.354414852864,1100.8683108413284,10,True,False,0.02709331649371416
2011-04-01,23765.87594023586,1100.8683108413284,10,True,False,0.013238833227195324
2011-04-08,24292.786028774983,1100.8683108413284,10,True,False,0.022170867586119858
2011-04-15,23939.33059683681,1100.8683108413284,10,True,False,-0.014549810446586986
2011-04-26,24846.7113341415,1100.8683108413284,10,True,False,0.037903346279222205
2011-04-29,24938.866315754658,1100.8683108413284,10,True,False,0.003708940808055061
2011-05-06,24861.91937117458,1115.3833108413282,10,True,False,-0.0030854227135204138
2011-05-13,25140.197403477436,1115.3833108413282,10,True,False,0.011192942433298159
2011-05-20,25692.49520258785,1115.3833108413282,10,True,False,0.02196871369967912
2011-05-27,25487.213701771503,1115.3833108413282,10,True,False,-0.0079899402217527
2011-06-03,25728.63947348476,1115.3833108413282,10,True,False,0.009472427019218577
2011-06-10,25195.57926707149,1115.3833108413282,10,True,False,-0.02071855400526046
2011-06-17,25334.897645519977,1239.3823533523146,10,True,False,0.00552947709483953
2011-06-24,25196.277724179035,1265.050226124532,10,True,False,-0.005471501139672208
2011-07-01,27312.49977389217,1265.050226124532,10,True,False,0.08398947149571812
2011-07-08,28740.59844008327,1265.050226124532,10,True,False,0.05228736578539794
2011-07-15,27941.62329378963,1265.050226124532,10,True,False,-0.027799530617265922
2011-07-22,27533.669226559407,1265.050226124532,10,True,False,-0.014600227872977545
2011-07-29,26882.66415679575,6.105553509004039,10,True,False,-0.02364396348364961
2011-08-05,23158.497294965986,16893.60724979997,2,False,False,-0.13853414379275053
2011-08-12,22659.717317548995,20187.00724979997,1,False,False,-0.021537665897061964
2011-08-19,22280.984555975203,22280.984555975203,0,False,False,-0.016713922608402543
2011-08-26,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-09-02,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-09-09,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-09-16,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-09-23,22280.984555975203,22280.984555975203,0,False,True,0.0
2011-09-30,22280.984555975203,22280.984555975203,0,False,True,0.0
2011-10-07,22280.984555975203,22280.984555975203,0,False,True,0.0
2011-10-14,22280.984555975203,22280.984555975203,0,False,True,0.0
2011-10-21,22280.984555975203,22280.984555975203,0,False,True,0.0
2011-10-28,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-11-04,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-11-11,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-11-18,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-11-25,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-12-02,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-12-09,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-12-16,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-12-23,22280.984555975203,22280.984555975203,0,False,False,0.0
2011-12-30,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-01-06,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-01-13,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-01-20,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-01-27,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-02-03,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-02-10,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-02-17,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-02-24,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-03-02,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-03-09,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-03-16,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-03-23,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-03-30,22280.984555975203,22280.984555975203,0,False,False,0.0
2012-04-10,22280.984555975203,22280.984555975203,0,False,False,0.0
