fold_year,train_period,test_period,best_cell_th_bp,best_cell_w_d,train_uplift_pp,base_test_cagr_pct,overlay_test_cagr_pct,test_uplift_pp,base_test_dd_pct,overlay_test_dd_pct,test_dd_uplift_pp,n_cells_helping_train
2021,2020-01-01 -> 2020-12-31,2021-01-01 -> 2021-12-31,3,7,3.6772790215438445,23.266003181882255,16.134106872319908,-7.131896309562347,-19.42475087003137,-15.1069214429166,4.317829427114772,4
2022,2020-01-01 -> 2021-12-31,2022-01-01 -> 2022-12-31,3,3,20.598342773960642,-14.91616520570852,-19.000424963888328,-4.084259758179809,-14.756093135362502,-18.801571714577193,-4.04547857921469,9
2023,2020-01-01 -> 2022-12-31,2023-01-01 -> 2023-12-31,3,3,10.676661666869114,-2.7046059490628105,-2.6747457487508286,0.029860200311981888,-9.401589105448327,-9.392361182657904,0.009227922790422394,10
2024,2020-01-01 -> 2023-12-31,2024-01-01 -> 2024-12-31,3,3,7.8531661505857775,38.95544487455804,38.62428352194747,-0.3311613526105761,-13.16930164672655,-13.251603000344158,-0.08230135361760871,10
2025,2020-01-01 -> 2024-12-31,2025-01-01 -> 2025-12-31,3,3,6.533732489929456,23.588635791787738,24.028251032890747,0.43961524110300854,-15.314476339707983,-15.173749713466789,0.14072662624119436,11
