ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
KGH.WA,2010-01-04,109.04,2010-01-08,103.98,18,-111.17,-4.6,4,BELOW_10W_SMA
DNLM.L,2010-01-04,406.62,2010-01-08,393.02,4,-74.39,-3.3,4,BELOW_10W_SMA
1U1.DE,2010-01-04,4.98,2010-01-08,4.55,398,-194.18,-8.8,4,HARD_STOP
AVON.L,2010-01-04,100.0,2010-01-15,90.55,19,-199.6,-9.5,11,HARD_STOP
AMP.MI,2010-01-04,3.04,2010-01-15,2.95,652,-83.53,-3.2,11,BELOW_10W_SMA
IFX.DE,2010-01-04,4.12,2010-01-22,3.75,159,-80.0,-9.1,18,HARD_STOP
SOI.PA,2010-01-08,131.84,2010-01-22,116.86,15,-244.64,-11.4,14,HARD_STOP
VBK.DE,2010-01-08,3.7,2010-01-22,3.24,532,-261.9,-12.3,14,HARD_STOP
EVT.DE,2010-01-08,2.2,2010-01-22,1.98,567,-146.94,-10.2,14,HARD_STOP
KGH.WA,2010-01-15,107.23,2010-01-22,101.79,18,-118.01,-5.1,7,BELOW_10W_SMA
LPK.DE,2010-01-15,5.27,2010-01-22,4.89,1,-20.39,-7.4,7,BELOW_10W_SMA
HEX.OL,2010-01-04,6.84,2010-01-29,6.18,291,-210.69,-9.6,25,HARD_STOP
ASM.AS,2010-01-15,17.62,2010-01-29,16.61,94,-115.52,-5.8,14,BELOW_10W_SMA
PAF.L,2010-01-22,7.35,2010-01-29,6.49,4,-23.44,-11.7,7,BELOW_10W_SMA
VSVS.L,2010-01-22,214.45,2010-02-05,207.43,8,-76.17,-3.3,14,BELOW_10W_SMA
BOL.ST,2010-01-04,95.83,2010-02-12,87.66,20,-183.34,-8.5,39,BELOW_10W_SMA
ATEA.OL,2010-01-22,46.53,2010-02-12,46.77,31,-12.76,0.5,21,BELOW_10W_SMA
UTG.L,2010-01-29,289.74,2010-02-12,278.9,5,-74.21,-3.7,14,BELOW_10W_SMA
NYR.BR,2010-01-04,32.91,2010-02-26,35.34,60,125.51,7.4,53,BELOW_10W_SMA
SNR.L,2010-02-12,82.16,2010-02-26,78.11,21,-105.08,-4.9,14,BELOW_10W_SMA
UTG.L,2010-02-26,292.05,2010-03-05,263.68,6,-190.27,-9.7,7,HARD_STOP
AGFB.BR,2010-03-12,6.23,2010-04-06,5.41,2,-21.63,-13.1,25,HARD_STOP
EUZ.DE,2010-01-22,1.56,2010-04-09,1.62,1199,60.96,4.3,77,BELOW_10W_SMA
1U1.DE,2010-02-26,5.2,2010-04-23,5.2,358,-18.58,0.1,56,BELOW_10W_SMA
DIE.BR,2010-01-04,29.13,2010-04-30,35.25,68,396.02,21.0,116,BELOW_10W_SMA
AIXA.DE,2010-03-05,23.51,2010-04-30,23.69,66,-8.19,0.8,56,BELOW_10W_SMA
COK.DE,2010-04-23,2.93,2010-04-30,2.78,628,-119.57,-5.4,7,BELOW_10W_SMA
AMP.MI,2010-01-22,3.09,2010-05-07,3.39,606,164.9,9.9,105,REGIME_OFF_10W
IFX.DE,2010-01-29,4.04,2010-05-07,4.51,465,198.2,11.6,98,REGIME_OFF_10W
TRI.PA,2010-02-05,15.03,2010-05-07,16.13,109,99.26,7.3,91,REGIME_OFF_10W
LPK.DE,2010-02-12,5.09,2010-05-07,6.45,353,460.89,26.8,84,REGIME_OFF_10W
SRT3.DE,2010-02-12,4.4,2010-05-07,4.63,233,33.85,5.3,84,REGIME_OFF_10W
RBREW.CO,2010-04-09,39.9,2010-05-07,37.01,48,-158.46,-7.2,28,REGIME_OFF_10W
HPOL-B.ST,2010-04-30,8.77,2010-05-07,7.2,236,-390.88,-17.9,7,HARD_STOP
DRW3.DE,2010-04-30,52.86,2010-05-07,45.97,39,-288.67,-13.0,7,HARD_STOP
AVOL.SW,2010-04-30,91.46,2010-05-07,81.88,16,-173.21,-10.5,7,HARD_STOP
ATS.VI,2010-04-30,9.92,2010-05-07,8.41,4,-26.04,-15.2,7,HARD_STOP
PPH.L,2010-01-04,119.59,2010-05-21,132.83,16,191.8,11.1,137,BELOW_10W_SMA
AMS.SW,2010-02-26,21.71,2010-05-21,25.11,4,-6.41,15.6,84,BELOW_10W_SMA
COK.DE,2010-05-14,2.98,2010-05-21,2.8,601,-128.42,-6.1,7,BELOW_10W_SMA
IFX.DE,2010-05-14,5.06,2010-05-21,4.68,335,-147.54,-7.5,7,BELOW_10W_SMA
CRBN.AS,2010-05-14,24.66,2010-05-21,23.24,73,-123.99,-5.8,7,BELOW_10W_SMA
CLN.SW,2010-05-14,14.27,2010-05-21,12.92,126,-190.84,-9.5,7,BELOW_10W_SMA
LNZ.VI,2010-05-14,38.1,2010-05-21,36.88,45,-74.96,-3.2,7,BELOW_10W_SMA
BESI.AS,2010-05-14,1.67,2010-05-21,1.57,63,-26.5,-6.2,7,BELOW_10W_SMA
YSN.DE,2010-05-14,10.4,2010-05-28,9.66,173,-147.2,-7.1,14,BELOW_10W_SMA
IXX.DE,2010-05-21,13.94,2010-05-28,13.43,121,-81.94,-3.7,7,BELOW_10W_SMA
RNK.L,2010-05-21,119.7,2010-06-04,116.61,14,-63.14,-2.6,14,BELOW_10W_SMA
1U1.DE,2010-05-28,5.42,2010-06-04,5.09,314,-124.74,-6.1,7,BELOW_10W_SMA
PEY.L,2010-05-21,4.97,2010-06-11,4.79,339,-84.0,-3.8,21,BELOW_10W_SMA
AMS.SW,2010-06-04,28.43,2010-06-11,26.55,54,-121.11,-6.6,7,BELOW_10W_SMA
RBREW.CO,2010-05-14,41.31,2010-06-18,40.8,43,-41.95,-1.2,35,BELOW_10W_SMA
DIE.BR,2010-06-11,36.25,2010-06-25,35.26,34,-53.58,-2.7,14,BELOW_10W_SMA
NEM.DE,2010-04-09,1.61,2010-07-02,1.81,1,-19.81,12.1,84,REGIME_OFF_10W
SNR.L,2010-05-14,113.26,2010-07-02,115.92,15,19.81,2.3,49,REGIME_OFF_10W
BOSS.DE,2010-05-21,24.87,2010-07-02,26.39,67,81.41,6.1,42,REGIME_OFF_10W
MTX.DE,2010-05-21,44.22,2010-07-02,42.91,35,-65.7,-3.0,42,REGIME_OFF_10W
CRBN.AS,2010-05-28,24.38,2010-07-02,23.5,4,-23.52,-3.6,35,REGIME_OFF_10W
IFX.DE,2010-06-18,5.27,2010-07-02,4.71,330,-206.08,-10.7,14,HARD_STOP
STO3.DE,2010-05-21,69.95,2010-07-09,72.4,8,-0.41,3.5,49,BELOW_10W_SMA
HPOL-B.ST,2010-06-11,8.79,2010-07-16,7.94,2,-21.7,-9.7,35,HARD_STOP
CLN.SW,2010-07-09,14.36,2010-07-30,13.73,120,-95.65,-4.4,21,BELOW_10W_SMA
SNR.L,2010-07-09,134.27,2010-08-06,127.36,12,-102.9,-5.1,28,BELOW_10W_SMA
OCI.L,2010-05-21,112.56,2010-08-13,106.47,14,-105.33,-5.4,84,BELOW_10W_SMA
SRT3.DE,2010-07-09,5.02,2010-08-13,4.68,67,-43.18,-6.9,35,BELOW_10W_SMA
HPOL-B.ST,2010-07-30,8.38,2010-08-13,8.01,1,-20.38,-4.5,14,BELOW_10W_SMA
RBREW.CO,2010-08-06,40.7,2010-08-13,37.71,37,-130.7,-7.4,7,BELOW_10W_SMA
ATS.VI,2010-05-28,9.35,2010-08-20,10.01,155,81.56,7.0,84,BELOW_10W_SMA
DIE.BR,2010-07-09,35.97,2010-08-20,34.93,48,-70.23,-2.9,42,BELOW_10W_SMA
KEMIRA.HE,2010-07-09,9.55,2010-08-20,9.51,180,-26.35,-0.4,42,BELOW_10W_SMA
