mode,threshold_bp,window_d,cagr,maxdd,sharpe,n_trades,cagr_delta,maxdd_delta
canslim,,,20.645491922863247,-26.521710710211345,1.1191323826062018,323,0.0,0.0
canslim,3.0,3.0,21.142317340830385,-26.521710710211345,1.1584112506958077,335,0.49682541796713764,0.0
canslim,5.0,3.0,21.65553336642354,-26.521710710211345,1.1738817665083177,333,1.0100414435602936,0.0
canslim,7.0,3.0,20.706356583411644,-26.521710710211345,1.1245838131061676,329,0.0608646605483969,0.0
canslim,10.0,3.0,20.538372788392657,-26.521710710211345,1.1129894466752002,327,-0.10711913447059018,0.0
canslim,15.0,3.0,20.645491922863247,-26.521710710211345,1.1191323826062018,323,0.0,0.0
canslim,3.0,7.0,19.73736543326503,-26.521710710211345,1.1208783615139932,337,-0.9081264895982173,0.0
canslim,5.0,7.0,21.6577676306281,-26.521710710211345,1.181121782276353,331,1.0122757077648536,0.0
canslim,7.0,7.0,20.706356583411644,-26.521710710211345,1.1245838131061676,329,0.0608646605483969,0.0
canslim,10.0,7.0,20.538372788392657,-26.521710710211345,1.1129894466752002,327,-0.10711913447059018,0.0
canslim,15.0,7.0,20.645491922863247,-26.521710710211345,1.1191323826062018,323,0.0,0.0
canslim,3.0,14.0,19.8800666918469,-26.521710710211345,1.1388113937021405,336,-0.7654252310163479,0.0
canslim,5.0,14.0,21.453668878506903,-26.521710710211345,1.1757164446810746,326,0.8081769556436562,0.0
canslim,7.0,14.0,21.255930359751176,-26.521710710211345,1.1573070731403747,322,0.6104384368879288,0.0
canslim,10.0,14.0,20.88832651867505,-26.521710710211345,1.134862714491313,323,0.24283459581180367,0.0
canslim,15.0,14.0,20.645491922863247,-26.521710710211345,1.1191323826062018,323,0.0,0.0
momentum,,,19.71616177505604,-31.4660133471347,1.0190847164327046,345,0.0,0.0
momentum,3.0,3.0,20.391288682306886,-28.511433599503412,1.066161095644968,352,0.6751269072508457,2.954579747631289
momentum,5.0,3.0,19.888678523878944,-30.860471947644985,1.0290912117882565,355,0.17251674882290402,0.6055413994897165
momentum,7.0,3.0,20.001823436813847,-29.474437559029663,1.028189374002235,350,0.28566166175780694,1.9915757881050382
momentum,10.0,3.0,19.732323395190264,-32.566316916673564,1.0195437907726366,350,0.016161620134223398,-1.1003035695388625
momentum,15.0,3.0,19.71616177505604,-31.4660133471347,1.0190847164327046,345,0.0,0.0
momentum,3.0,7.0,21.231232994473494,-28.03453622407528,1.1470066070405298,347,1.5150712194174538,3.431477123059423
momentum,5.0,7.0,19.904149267140703,-31.65936952677142,1.027050721166712,355,0.18798749208466248,-0.19335617963671936
momentum,7.0,7.0,20.001823436813847,-29.474437559029663,1.028189374002235,350,0.28566166175780694,1.9915757881050382
momentum,10.0,7.0,19.732323395190264,-32.566316916673564,1.0195437907726366,350,0.016161620134223398,-1.1003035695388625
momentum,15.0,7.0,19.71616177505604,-31.4660133471347,1.0190847164327046,345,0.0,0.0
momentum,3.0,14.0,21.511805995894704,-28.730304773654336,1.1639911081138117,350,1.795644220838664,2.735708573480366
