date,equity,cash,positions,regime_on,circuit_breaker,returns
2010-01-04,19808.09089548111,1426.2699917030338,10,True,False,
2010-01-08,20097.83990365982,1426.2699917030338,10,True,False,0.01462781091361065
2010-01-15,19709.592819042206,1426.2699917030338,10,True,False,-0.019317851394911045
2010-01-22,19122.87108050704,304.67006718039534,10,True,False,-0.029768333822112747
2010-01-29,19201.698181546926,317.4419545304779,10,True,False,0.0041221373458004695
2010-02-05,18353.015335201027,80.72666132331074,10,True,False,-0.04419832237346033
2010-02-12,18177.709959863427,80.72666132331074,10,True,False,-0.009551856854898677
2010-02-19,18760.50856411338,80.72666132331074,10,True,False,0.032061167525325285
2010-02-26,18626.396392463448,80.72666132331074,10,True,False,-0.007148642649617343
2010-03-05,19744.584793809656,20.450354579689247,10,True,False,0.06003246026690623
2010-03-12,20085.359915736917,20.450354579689247,10,True,False,0.017259168804304226
2010-03-19,19852.564881328348,20.450354579689247,10,True,False,-0.01159028443529031
2010-03-26,21009.306465152506,20.450354579689247,10,True,False,0.058266606392612275
2010-04-06,21830.506346944574,20.450354579689247,10,True,False,0.039087434092799134
2010-04-09,21730.745111469034,20.450354579689247,10,True,False,-0.00456980859216316
2010-04-16,21398.909162048105,20.450354579689247,10,True,False,-0.015270343824786425
2010-04-23,21858.050137523416,20.450354579689247,10,True,False,0.021456279476601336
2010-04-30,21027.889539722208,20.450354579689247,10,True,False,-0.03797962730335602
2010-05-07,18829.993966555594,14714.793939089775,2,False,False,-0.10452287991216302
2010-05-14,18839.137911365033,2523.3434076762223,10,True,False,0.0004856052968300606
2010-05-21,17949.861383960248,2523.3434076762223,10,True,False,-0.047203674159013054
2010-05-28,18412.374887034894,2523.3434076762223,10,True,False,0.025766967954858
2010-06-04,18600.36950115919,2523.3434076762223,10,True,False,0.01021023172066049
2010-06-11,18739.701941535473,2523.3434076762223,10,True,False,0.007490842607594361
2010-06-18,19636.042182967663,2523.3434076762223,10,True,False,0.04783108313187756
2010-06-25,19112.300815627576,2523.3434076762223,10,True,False,-0.026672450713839946
2010-07-02,18339.646653745178,13230.548644635679,3,False,True,-0.04042706157338316
2010-07-09,18483.81537867308,599.8010439944287,10,True,False,0.00786104158110712
2010-07-16,18357.48095298529,599.8010439944287,10,True,True,-0.006834867320388627
2010-07-23,18932.612415082458,599.8010439944287,10,True,False,0.03132954154059142
2010-07-30,18943.21279288054,599.8010439944287,10,True,False,0.0005599004281964248
