ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
REP.MC,2010-01-04,18.92,2010-01-22,17.31,264,-445.34,-8.5,18,HARD_STOP
SMHN.DE,2010-01-04,4.42,2010-01-22,4.03,1104,-453.04,-8.9,18,HARD_STOP
BBVA.MC,2010-01-04,12.52,2010-01-29,10.61,83,-178.71,-15.3,25,HARD_STOP
VITR.ST,2010-01-04,4.77,2010-05-07,4.91,864,100.84,2.9,123,REGIME_OFF_10W
FGT.L,2010-01-04,245.22,2010-05-07,252.98,20,135.18,3.2,123,REGIME_OFF_10W
BESI.AS,2010-01-22,1.48,2010-05-07,1.52,3146,105.92,2.7,105,REGIME_OFF_10W
OXIG.L,2010-01-22,247.73,2010-05-07,261.93,17,221.42,5.7,105,REGIME_OFF_10W
COK.DE,2010-01-29,2.38,2010-05-07,2.69,415,108.1,13.0,98,REGIME_OFF_10W
IAD.L,2010-05-14,137.94,2010-05-21,128.11,35,-364.05,-7.1,7,BELOW_30W_SMA
VETO.PA,2010-05-28,25.93,2010-06-25,23.38,181,-480.92,-9.8,28,HARD_STOP
FGT.L,2010-06-04,270.34,2010-08-27,276.61,6,17.59,2.3,84,REGIME_OFF_10W
CDR.WA,2010-09-03,3.22,2010-09-17,2.64,516,-318.89,-18.0,14,HARD_STOP
RRTL.DE,2010-06-25,60.8,2011-05-06,62.69,69,109.89,3.1,315,BELOW_30W_SMA
DLG.MI,2010-05-14,3.38,2011-08-05,6.87,1157,4007.71,102.9,448,REGIME_OFF_10W
RSW.L,2010-05-14,700.48,2011-08-05,1396.98,6,4158.97,99.4,448,REGIME_OFF_10W
TYRES.HE,2010-05-14,19.68,2011-08-05,24.79,241,1210.92,26.0,448,REGIME_OFF_10W
OCI.L,2010-09-17,127.13,2011-08-05,150.25,10,211.13,18.2,322,REGIME_OFF_10W
AVON.L,2011-05-06,278.89,2011-08-05,240.79,15,-591.46,-13.7,91,HARD_STOP
MBB.DE,2012-05-25,8.74,2012-07-13,7.73,787,-816.72,-11.6,49,HARD_STOP
ASML.AS,2012-06-22,51.84,2012-10-19,51.72,132,-36.07,-0.2,119,BELOW_30W_SMA
GBG.L,2012-07-13,79.65,2013-02-15,90.3,76,789.4,13.4,217,BELOW_30W_SMA
GLPG.BR,2012-07-06,12.89,2013-05-17,17.26,535,2317.47,33.9,315,BELOW_30W_SMA
GRI.L,2013-05-17,141.6,2013-06-14,130.1,65,-767.49,-8.1,28,HARD_STOP
BFT.WA,2012-10-19,176.28,2013-08-30,255.72,38,2998.64,45.1,315,BELOW_30W_SMA
ING.WA,2013-06-14,99.49,2014-01-10,106.47,84,565.48,7.0,210,BELOW_30W_SMA
SVS.L,2014-01-10,668.32,2014-01-31,621.88,13,-623.85,-7.0,21,BELOW_30W_SMA
FOUR.L,2014-01-31,727.12,2014-03-28,643.27,11,-942.35,-11.5,56,HARD_STOP
GMAB.CO,2012-06-22,53.57,2014-04-04,219.4,128,21206.37,309.6,651,BELOW_30W_SMA
ROVI.MC,2013-02-15,6.45,2014-06-27,9.54,1078,3310.97,47.9,497,BELOW_30W_SMA
CRI.PA,2013-08-30,4.0,2014-07-11,5.14,2447,2779.98,28.6,315,BELOW_30W_SMA
RED.MC,2014-06-27,16.78,2014-07-11,15.37,903,-1296.15,-8.4,14,HARD_STOP
