ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
BKT.MC,2014-01-31,4.02,2014-05-16,3.75,10,-22.66,-6.6,105,BELOW_30W_SMA
HWG.L,2014-05-09,64.07,2014-05-16,60.94,230,-738.75,-4.9,7,BELOW_30W_SMA
VWS.CO,2014-05-16,53.26,2014-07-11,51.36,265,-524.32,-3.6,56,HARD_STOP
GFT.DE,2014-03-14,8.18,2014-08-01,9.18,1336,1320.21,12.3,140,REGIME_OFF_10W
BRG.OL,2014-03-14,37.18,2014-08-01,41.59,381,1658.69,11.8,140,REGIME_OFF_10W
HEX.OL,2014-05-16,26.31,2014-08-01,24.73,1,-21.57,-6.0,77,REGIME_OFF_10W
PNDORA.CO,2014-07-11,417.38,2014-08-01,375.02,32,-1375.55,-10.1,21,HARD_STOP
APAM.AS,2014-09-05,25.99,2014-10-06,22.79,550,-1784.85,-12.3,31,HARD_STOP
AMS.SW,2014-09-05,122.06,2014-10-10,116.33,117,-690.48,-4.7,35,REGIME_OFF_10W
VIT-B.ST,2014-09-05,27.94,2014-10-10,26.62,419,-574.23,-4.7,35,REGIME_OFF_10W
BKT.MC,2014-09-05,4.94,2014-10-10,4.62,3,-20.96,-6.5,35,REGIME_OFF_10W
BOI.PA,2014-11-21,72.87,2015-06-19,84.44,162,1853.23,15.9,210,BELOW_30W_SMA
BESI.AS,2014-11-21,8.4,2015-07-24,10.89,1,-17.51,29.6,245,BELOW_30W_SMA
BAVA.CO,2014-11-21,143.9,2015-08-07,225.51,81,6590.28,56.7,259,BELOW_30W_SMA
GFT.DE,2014-11-21,11.35,2015-08-21,18.99,1212,9243.41,67.3,273,REGIME_OFF_10W
PAT.DE,2015-06-19,15.54,2015-08-21,15.96,879,354.03,2.7,63,REGIME_OFF_10W
LDO.MI,2015-08-07,13.25,2015-08-21,11.54,1378,-2367.97,-12.9,14,HARD_STOP
CVSG.L,2012-12-14,167.58,2015-09-18,629.84,28,12923.03,275.8,1008,REGIME_OFF_10W
DIM.PA,2015-11-20,56.25,2016-01-08,55.02,357,-462.56,-2.2,49,REGIME_OFF_10W
KIT.OL,2015-11-20,3.76,2016-01-08,3.58,4689,-848.55,-4.7,49,REGIME_OFF_10W
TTR1.DE,2015-11-20,17.59,2016-01-08,17.78,761,126.99,1.1,49,REGIME_OFF_10W
GMAB.CO,2015-11-20,844.2,2016-01-15,814.9,23,-693.78,-3.5,56,HARD_STOP
HYQ.DE,2016-07-15,88.83,2016-08-19,86.56,220,-520.92,-2.6,35,REGIME_OFF_10W
LNZ.VI,2016-07-15,79.55,2016-09-23,86.62,130,899.0,8.9,70,REGIME_OFF_10W
MBB.DE,2016-07-15,32.66,2016-10-14,36.37,599,2199.14,11.3,91,REGIME_OFF_10W
BFT.WA,2016-07-15,547.72,2016-10-14,635.51,35,3052.35,16.0,91,REGIME_OFF_10W
MTS.MC,2016-10-21,18.6,2017-04-18,19.99,67,72.8,7.4,179,BELOW_30W_SMA
OUT1V.HE,2016-09-30,6.15,2017-05-05,7.97,3554,6463.83,29.7,217,BELOW_30W_SMA
LNZ.VI,2017-04-18,146.7,2017-07-07,133.19,9,-141.65,-9.2,80,HARD_STOP
LOGN.SW,2016-09-30,21.91,2017-10-27,34.28,385,4741.97,56.5,392,BELOW_30W_SMA
RS1.L,2016-10-21,367.63,2017-12-01,612.92,58,14206.88,66.7,406,BELOW_30W_SMA
COA.L,2017-07-07,76.43,2018-01-19,78.21,15,6.65,2.3,196,BELOW_30W_SMA
HTRO.ST,2016-10-21,5.53,2018-02-09,12.84,3873,28283.88,132.2,476,REGIME_OFF_10W
AMG.AS,2017-05-05,25.9,2018-02-09,37.93,1092,13117.36,46.5,280,REGIME_OFF_10W
WAF.DE,2017-10-27,119.59,2018-02-09,111.44,110,-917.05,-6.8,105,REGIME_OFF_10W
FCT.MI,2017-12-01,9.37,2018-02-09,10.37,3798,3756.87,10.6,70,REGIME_OFF_10W
DSCV.L,2018-01-19,386.92,2018-03-02,375.12,2,-43.62,-3.1,42,REGIME_OFF_10W
TGYM.MI,2018-05-04,10.7,2018-06-29,10.1,2064,-1266.66,-5.6,56,REGIME_OFF_10W
OXB.L,2018-05-04,634.15,2018-07-20,847.74,64,13649.44,33.7,77,REGIME_OFF_10W
PLUS.L,2018-05-04,1546.69,2018-08-24,1490.51,26,-1480.81,-3.6,112,REGIME_OFF_10W
CDR.WA,2018-05-04,125.52,2018-09-07,172.63,326,15337.21,37.5,126,REGIME_OFF_10W
VBK.DE,2019-06-28,7.83,2019-07-19,7.32,3714,-1898.35,-6.5,21,REGIME_OFF_10W
MIPS.ST,2019-06-28,186.13,2019-08-09,170.54,256,-4009.25,-8.4,42,HARD_STOP
GRG.L,2019-06-28,2309.49,2019-08-09,2121.34,20,-3783.0,-8.1,42,HARD_STOP
SUS.ST,2019-07-26,57.28,2019-08-16,52.14,474,-2459.68,-9.0,21,HARD_STOP
ENOG.L,2019-08-09,1067.31,2019-08-30,986.04,45,-3676.92,-7.6,21,HARD_STOP
VER.VI,2019-08-30,54.42,2019-09-13,50.2,335,-1434.71,-7.8,14,HARD_STOP
EUZ.DE,2019-06-28,7.83,2020-02-14,13.61,6023,34822.61,73.9,231,REGIME_OFF_10W
ASML.AS,2019-08-30,203.26,2020-02-28,246.86,250,10879.56,21.4,182,REGIME_OFF_10W
ASM.AS,2019-09-13,82.77,2020-02-28,104.43,203,4375.65,26.2,168,REGIME_OFF_10W
QTCOM.HE,2019-07-26,13.06,2020-03-06,20.7,1,-12.37,58.4,224,REGIME_OFF_10W
IXX.DE,2020-06-05,30.05,2020-08-21,30.35,292,67.02,1.0,77,REGIME_OFF_10W
SLR.MC,2020-06-05,9.85,2020-09-04,13.19,4116,13746.79,34.0,91,REGIME_OFF_10W
