ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
AVON.L,2010-01-04,100.0,2010-01-22,89.05,19,-227.95,-10.9,18,HARD_STOP
DNLM.L,2010-01-04,406.62,2010-01-22,343.27,3,-210.04,-15.6,18,HARD_STOP
KGH.WA,2010-01-04,109.04,2010-01-29,96.52,18,-245.49,-11.5,25,HARD_STOP
AIXA.DE,2010-01-04,23.96,2010-02-05,20.23,79,-314.34,-15.6,32,HARD_STOP
HPOL-B.ST,2010-01-04,7.25,2010-02-05,6.3,238,-245.9,-13.1,32,HARD_STOP
HEX.OL,2010-01-04,6.84,2010-02-05,5.78,291,-329.3,-15.5,32,HARD_STOP
1U1.DE,2010-01-04,4.98,2010-02-05,4.38,397,-260.9,-12.2,32,HARD_STOP
UTG.L,2010-02-05,283.51,2010-03-05,263.68,6,-139.01,-7.0,28,BELOW_30W_SMA
BOL.ST,2010-01-04,95.83,2010-05-07,87.46,20,-187.32,-8.7,123,REGIME_OFF_10W
NYR.BR,2010-01-04,32.91,2010-05-07,30.99,60,-135.62,-5.9,123,REGIME_OFF_10W
AMP.MI,2010-01-22,3.09,2010-05-07,3.39,621,169.47,9.9,105,REGIME_OFF_10W
DIE.BR,2010-01-22,29.96,2010-05-07,31.79,63,95.55,6.1,105,REGIME_OFF_10W
IFX.DE,2010-01-29,4.04,2010-05-07,4.51,422,178.02,11.6,98,REGIME_OFF_10W
ATEA.OL,2010-02-05,47.23,2010-05-07,45.27,36,-90.65,-4.2,91,REGIME_OFF_10W
TRI.PA,2010-02-05,15.03,2010-05-07,16.13,118,109.11,7.3,91,REGIME_OFF_10W
AIXA.DE,2010-03-05,23.51,2010-05-07,23.51,69,-20.35,-0.0,63,REGIME_OFF_10W
SNR.L,2010-02-05,83.16,2010-07-02,115.92,18,569.57,39.4,147,REGIME_OFF_10W
RBREW.CO,2010-05-14,41.31,2010-07-02,38.21,43,-153.19,-7.5,49,REGIME_OFF_10W
AMS.SW,2010-05-14,28.28,2010-07-02,26.19,44,-111.86,-7.4,49,REGIME_OFF_10W
IFX.DE,2010-05-14,5.06,2010-07-02,4.71,280,-119.92,-7.0,49,REGIME_OFF_10W
DRW3.DE,2010-05-14,52.63,2010-07-02,47.17,28,-172.99,-10.4,49,REGIME_OFF_10W
CRBN.AS,2010-05-14,24.66,2010-07-02,23.5,76,-108.6,-4.7,49,REGIME_OFF_10W
CLN.SW,2010-05-14,14.27,2010-07-02,13.37,110,-118.8,-6.3,49,REGIME_OFF_10W
DIE.BR,2010-07-09,35.97,2010-08-20,34.93,51,-73.37,-2.9,42,BELOW_30W_SMA
COK.DE,2010-05-14,2.98,2010-08-27,3.53,504,257.16,18.4,105,REGIME_OFF_10W
SNR.L,2010-07-09,134.27,2010-08-27,110.64,13,-327.11,-17.6,49,HARD_STOP
ATS.VI,2010-07-09,10.01,2010-08-27,9.0,185,-208.02,-10.1,49,REGIME_OFF_10W
HPOL-B.ST,2010-07-09,8.36,2010-08-27,7.78,222,-148.3,-6.9,49,REGIME_OFF_10W
